"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\(tabs)\Home.jsx", "JavaScript JSX", 0, -1, 1, 0, 0
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\event-details\[id].js", "JavaScript", -48, 0, 0, 0, -48
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\manager-details\[id].js", "JavaScript", 86, 0, 0, 6, 92
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\team-details\[id].js", "JavaScript", 112, 0, 0, 7, 119
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\SearchCard.jsx", "JavaScript JSX", 0, 30, 0, 1, 31
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\searchcomponents\ExtraInformationContainer.jsx", "JavaScript JSX", 0, 23, 0, 0, 23
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\managerdetails\ManagerTransfers.jsx", "JavaScript JSX", 0, 79, 1, 7, 87
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\teamdetails\ManagerInfo.jsx", "JavaScript JSX", 0, 117, 2, 7, 126
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\teamdetails\MoreInformation.jsx", "JavaScript JSX", 0, 75, 0, 3, 78
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\teamdetails\TeamDetailsMainTop.jsx", "JavaScript JSX", 0, 127, 1, 7, 135
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\teamdetails\TeamSeasons.jsx", "JavaScript JSX", 0, 59, 1, 7, 67
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\teamdetails\TeamsMatches.jsx", "JavaScript JSX", 0, 47, 1, 6, 54
"d:\Program-Files\Coding-Files\project-wboson\goalFever\hook\postViaAxiosData.js", "JavaScript", 1, 0, 0, 0, 1
"d:\Program-Files\Coding-Files\project-wboson\goalFever\hook\useFetchTeam.js", "JavaScript", 23, 0, 1, 3, 27
"d:\Program-Files\Coding-Files\project-wboson\goalFever\hook\useFetchTeamMatches.js", "JavaScript", 23, 0, 1, 3, 27
"Total", "-", 197, 556, 9, 57, 819